time,open,high,low,close,K,D
2016-09-22T09:30:00-04:00,21.75,21.85,21.75,21.85,91.56935456448286,90.97155378021829
2016-09-23T09:30:00-04:00,21.9099,21.9099,21.8589,21.8589,91.56935456448286,91.0221158765442
2016-09-26T09:30:00-04:00,21.71,21.71,21.69,21.69,93.42766195447,92.18879036114522
2016-09-27T09:30:00-04:00,22,22.105,21.996,22.105,93.42766195447,92.80822615780761
2016-09-28T09:30:00-04:00,22.0899,22.16,22.02,22.16,93.42766195447,93.42766195447
2016-09-29T09:30:00-04:00,22.0801,22.0957,21.93,21.96,92.86699782220198,93.24077391038065
2016-09-30T09:30:00-04:00,22.0106,22.1815,22.0106,22.18,90.18496776231954,92.15987584633051
2016-10-03T09:30:00-04:00,22.2095,22.2095,22.2095,22.2095,88.09050311774155,90.38082290075435
2016-10-04T09:30:00-04:00,22.32,22.32,22.08,22.08,87.31382327220946,88.5297647174235
2016-10-05T09:30:00-04:00,22.3299,22.4099,22.3187,22.3925,89.14563923859612,88.18332187618238
2016-10-06T09:30:00-04:00,22.24,22.24,21.82,21.82,57.90677054984078,78.12207768688212
2016-10-07T09:30:00-04:00,21.7008,21.7008,21.7008,21.7008,32.48311923983754,59.845176342758144
2016-10-10T09:30:00-04:00,21.8995,21.8995,21.8995,21.8995,7.236826581731322,32.542238790469874
2016-10-11T09:30:00-04:00,21.1349,21.1349,21,21,7.236826581731318,15.652257467766722
2016-10-12T09:30:00-04:00,20.99,20.99,20.85,20.85,7.236826581731318,7.236826581731315
2016-10-13T09:30:00-04:00,20.5894,20.5894,20.5894,20.5894,0,4.824551054487542
2016-10-14T09:30:00-04:00,20.54,20.54,20.379,20.38,0,2.412275527243769
2016-10-17T09:30:00-04:00,20.4,20.42,20.13,20.24,0,-3.848773152033876e-15
2016-10-18T09:30:00-04:00,20.54,20.5699,20.54,20.5699,6.329963962425474,2.1099879874751544
2016-10-19T09:30:00-04:00,20.66,20.66,20.6499,20.6499,14.122478827424644,6.817480929950036
2016-10-20T09:30:00-04:00,20.67,20.67,20.57,20.57,20.8620195619302,13.771487450593435
2016-10-21T09:30:00-04:00,20.42,20.53,20.42,20.53,20.725477869799107,18.569992086384648
2016-10-24T09:30:00-04:00,20.6677,20.6677,20.6677,20.6677,22.015222528484696,21.20090665340466
2016-10-25T09:30:00-04:00,20.81,20.81,20.385,20.43,23.717658696531032,22.152786364938276
2016-10-26T09:30:00-04:00,20.3296,20.3296,20.3296,20.3296,23.843449099879894,23.192110108298536
2016-10-27T09:30:00-04:00,20.315,20.315,20.1656,20.1656,17.68851403854934,21.74987394498675
2016-10-28T09:30:00-04:00,20.09,20.12,19.98,19.98,9.246537135997444,16.926166758142223
2016-10-31T09:30:00-04:00,19.98,20.007,19.89,19.9168,2.9273244623542034,9.954125212300324
2016-11-01T09:30:00-04:00,20.06,20.06,19.6975,19.719,-3.552713678800501e-15,4.05795386611721
2016-11-02T09:30:00-04:00,19.5548,19.5548,19.32,19.3201,-3.552713678800501e-15,0.9757748207847268
2016-11-03T09:30:00-04:00,19.23,19.23,19.2,19.2,-3.552713678800501e-15,-8.881784197001252e-15
2016-11-04T09:30:00-04:00,19.19,19.2539,19.19,19.2539,2.8691065353922,0.9563688451307256
2016-11-07T09:30:00-05:00,19.49,19.8199,19.49,19.8199,31.563280119463048,11.477462218285076
2016-11-08T09:30:00-05:00,19.81,20.07,19.81,19.99,64.89661345279639,33.10966670255054
2016-11-09T09:30:00-05:00,19.75,20.0447,19.75,20.0447,95.36084025073751,63.94024460766565
